time_sec	local_bandwidth_mbps	remote_bandwidth_mbps
0	2.60	0.70
4	0.70	0.10
6	14.60	149.50
7	35.60	63.30
9	9.20	0.60
10	1762.80	6.20
12	5261.50	20.00
13	5295.00	2.20
15	4514.50	9.10
16	4161.10	10.70
17	4167.60	11.60
19	4123.20	19.80
20	4127.60	21.00
22	4188.90	24.10
23	8713.80	8.60
25	8455.10	6.70
26	8367.10	8.20
28	12037.00	11.70
29	15052.60	13.80
30	15301.20	30.60
32	570.90	1.00
33	0.70	3.90
35	0.70	0.10
36	0.60	0.20
38	1.20	5.70
39	0.90	0.50
40	42.40	13.60
42	5057.60	35.90
43	4993.00	41.90
45	5089.40	28.30
46	5031.40	26.30
47	5118.60	34.80
49	5161.00	48.70
50	5122.60	25.90
51	4330.90	19.20
52	42.10	6.00
54	8.70	0.60
55	0.60	0.00
57	0.50	0.50
58	1.60	0.30
59	33.00	13.00
61	349.70	3.40
62	5050.70	25.90
64	5039.80	40.20
65	5000.70	33.20
66	5068.50	33.50
68	5179.00	42.30
69	5109.50	50.50
70	5081.60	40.70
72	3356.50	24.40
73	0.30	1.20
74	1.10	0.40
76	0.60	0.00
77	1.50	0.80
79	3.80	1.50
80	0.40	0.00
82	2081.80	8.30
83	5043.50	31.30
84	5030.40	40.00
86	5079.30	39.60
87	5088.60	37.50
88	5121.70	28.20
90	5095.00	27.40
91	5147.50	27.80
92	1206.60	4.90
94	1.10	0.10
95	1.90	0.40
97	39.60	14.10
98	1.00	0.00
99	0.30	0.10
101	13.90	2.80
102	4192.10	10.70
104	4939.10	32.20
105	4992.10	37.00
106	5005.10	55.50
108	5106.30	27.00
109	5133.90	29.60
110	5074.50	25.20
112	4939.00	19.10
113	1.00	0.30
114	0.10	0.10
116	30.60	14.00
117	0.50	0.30
118	0.40	0.50
120	37.40	5.40
121	1.10	0.10
123	650.60	35.20
124	0.40	0.40
125	20.20	5.40
127	11.40	2.50
128	9.30	0.20
130	0.60	0.10
131	8.50	2.90
133	5.40	0.30
134	4.20	1.00
136	0.10	0.30
137	0.80	0.20
139	0.30	0.10
140	1.30	0.20
141	0.50	0.00
143	0.40	0.10
144	6.60	1.70
146	0.30	0.00
147	0.10	0.10
149	0.10	0.10
150	0.00	0.00
152	0.40	0.30
153	9.80	3.50
155	0.30	0.00
156	0.10	0.10
157	0.30	0.40
159	0.10	0.10
160	0.40	0.10
162	1.00	0.00
163	13.10	5.90
165	7.90	5.30
166	0.10	0.00
167	0.10	0.00
169	7.90	2.30
170	0.10	0.20
172	9.50	3.20
