time_sec	local_bandwidth_mbps	remote_bandwidth_mbps
10	1023.80	4.40
11	5937.90	1.10
12	6061.90	4.50
14	4630.10	13.40
15	4596.90	14.80
16	4286.90	30.20
18	4094.20	24.30
19	4143.50	18.40
20	3814.30	20.30
22	1162.60	4.70
23	1087.10	6.30
25	1092.10	2.20
26	1089.00	2.60
28	1208.90	3.90
29	1794.60	7.40
31	1909.70	10.20
32	2728.90	13.30
33	2780.90	13.90
35	2814.60	4.70
36	2938.90	4.90
37	2897.10	4.30
39	3184.00	6.80
40	3295.10	15.90
41	3283.90	7.00
43	3416.80	7.50
44	3739.90	11.50
45	3895.10	11.60
47	4045.60	19.40
48	4350.70	22.60
49	4754.50	14.60
51	5178.10	19.70
52	5767.10	18.10
63	126.80	1.40
64	257.50	4.80
65	230.40	10.20
66	244.60	6.70
68	279.90	3.40
69	272.70	8.10
71	279.00	1.70
72	262.70	5.30
73	263.50	7.30
75	312.40	6.60
76	314.90	3.00
77	333.80	4.50
79	330.10	5.50
80	357.10	5.50
81	381.50	8.00
83	354.20	7.30
84	345.70	11.10
85	415.40	20.20
87	430.70	7.30
88	413.00	4.50
89	446.90	5.80
91	474.10	8.70
92	482.70	4.90
93	556.20	4.90
95	583.70	6.90
96	560.30	10.90
97	542.90	8.10
99	623.00	8.70
100	589.60	9.40
101	617.40	7.00
103	693.90	6.30
104	696.40	3.50
105	784.40	13.40
107	822.20	15.90
108	845.50	11.80
109	864.50	9.10
111	998.50	10.50
112	1022.90	12.30
113	1067.30	14.80
115	1163.40	9.70
116	1277.20	11.90
117	1339.70	7.40
119	1459.40	14.10
120	1565.40	16.30
121	1740.90	10.80
123	1764.20	11.00
124	2028.60	18.80
125	2207.10	20.10
127	2368.00	14.20
128	2673.70	15.20
129	1827.40	11.20
140	4314.70	22.90
141	4463.80	39.20
143	4521.10	39.90
144	4536.60	30.50
145	4688.40	41.00
147	4637.50	27.20
148	4725.20	31.30
150	4763.50	25.20
151	3194.20	16.70
162	4455.10	13.60
163	4714.80	43.60
164	4688.10	28.20
166	4767.50	35.30
167	4721.80	40.60
168	4775.00	35.60
170	4677.90	29.30
171	4738.30	31.90
172	1756.60	12.80
182	644.00	2.70
183	4730.50	22.00
184	4744.10	36.30
186	4741.00	39.70
187	4774.70	39.20
188	4827.20	28.80
190	4821.10	25.70
191	4904.60	34.80
192	4945.10	25.80

