time_sec	local_bandwidth_mbps	remote_bandwidth_mbps
4	627.90	5.50
5	5285.90	2.40
6	5327.90	4.80
8	4175.50	14.20
9	4154.60	15.20
10	4134.50	15.40
12	4141.40	16.20
13	4139.20	15.20
14	2045.20	7.10
16	1488.50	7.40
17	1225.50	5.60
18	1732.90	5.40
20	2499.20	7.00
21	2563.00	4.00
22	2513.80	4.90
24	2646.20	2.50
25	2774.90	4.70
26	2820.70	4.20
28	2955.80	7.80
29	2972.50	6.70
30	3114.30	7.00
32	3275.50	6.50
33	3432.20	9.00
34	3634.40	17.70
36	3887.00	16.70
37	4213.30	9.60
38	4555.90	11.20
40	5027.80	8.60
41	1667.90	2.00
51	176.40	0.90
52	253.40	2.30
54	252.30	8.80
55	256.70	4.10
56	273.90	4.40
58	276.60	9.00
59	283.10	2.80
60	282.90	1.90
62	304.70	4.60
63	312.60	2.70
64	320.30	4.30
66	334.10	6.50
67	346.90	3.50
68	375.00	8.30
70	377.50	5.40
71	389.50	5.10
72	403.70	5.00
74	416.70	7.90
75	445.70	5.60
76	446.40	7.70
78	489.80	2.50
79	522.80	6.20
80	568.50	6.90
82	587.20	5.40
83	566.60	4.70
84	604.70	7.40
86	648.70	4.10
87	659.30	5.70
88	708.00	5.80
90	754.50	6.20
91	801.10	5.70
92	848.60	7.70
94	896.80	8.60
95	947.50	7.00
96	1045.40	8.70
98	1110.50	14.70
99	1215.60	10.00
100	1321.70	11.90
102	1409.40	16.20
103	1543.10	16.20
104	1705.70	11.90
106	1864.10	11.20
107	2026.40	17.40
108	2245.50	15.00
110	2127.30	9.40
119	300.40	1.60
121	4009.00	12.00
122	4239.40	38.10
124	4283.20	35.80
125	4376.50	28.60
126	4450.00	27.50
127	4500.20	34.00
129	4347.50	23.40
130	1459.90	6.60
140	2904.30	8.90
142	4264.30	24.00
143	4293.60	33.20
144	4269.10	25.70
145	4273.30	25.00
147	4264.40	27.60
148	4280.60	24.10
149	3972.60	20.20
159	345.40	2.10
161	4426.10	21.50
162	4269.20	28.40
163	4352.40	32.40
165	4268.00	28.60
166	4325.70	30.60
167	4312.70	31.60
169	4304.90	27.50
